415,5370,"0,07728119181",1231,113326,"0,01086246757",50727,113326,"0,4476201401",40142,113326,"0,3542170376",548,157581,"0,003477576611",212,113326,"0,001870709281",5,113326,"0,00004412050191",41770,113326,"0,368582673",5,113326,"0,00004412050191",,,#DIV/0!
64584,558126,"0,1157158061",2391865,#REF!,#REF!,1308779,#REF!,#REF!,1325,#REF!,#REF!,769,22956,"0,0334988674",187,#REF!,#REF!,30,#REF!,#REF!,3387,#REF!,#REF!,134,#REF!,#REF!,24568,2314568,"0,01061450776"
65344,361346,"0,1808349892",856745,#REF!,#REF!,1429008,#REF!,#REF!,4651,#REF!,#REF!,80,21984,"0,003639010189",57,#REF!,#REF!,23,#REF!,#REF!,2456,#REF!,#REF!,65,#REF!,#REF!,48524,156484,"0,3100892104"
141899,8094766,"0,01752972229","8364,75",#REF!,#REF!,1050640,#REF!,#REF!,"4830,5",#REF!,#REF!,184,45173,"0,004073229584",27,#REF!,#REF!,6,#REF!,#REF!,368,#REF!,#REF!,31,#REF!,#REF!,5875,452984,"0,01296955301"
204,5858,"0,03482417207",2513,#REF!,#REF!,529351,#REF!,#REF!,0,#REF!,#REF!,222,40754,"0,005447318055",411,#REF!,#REF!,437,#REF!,#REF!,188,#REF!,#REF!,24,#REF!,#REF!,15459,1990872,"0,007764939182"
17,265,"0,0641509434",181,#REF!,#REF!,153565,#REF!,#REF!,"382,5",#REF!,#REF!,34,10538,"0,003226418675",14,#REF!,#REF!,12,#REF!,#REF!,422,#REF!,#REF!,25,#REF!,#REF!,45,15654,"0,002874664622"
254,9006,"0,02820341994",376,#REF!,#REF!,7177273,#REF!,#REF!,"10072,9",#REF!,#REF!,157,9083,"0,01728503798",43,#REF!,#REF!,11,#REF!,#REF!,889,#REF!,#REF!,33,#REF!,#REF!,,,#DIV/0!
240,5.852,"0,04101161996","3,78",579.015,"0,000006528328282",3.342,579.015,"0,005771871195",,579.015,0,199,6.162,"0,03229470951",22,579.015,"0,00003799556143",6,579.015,"0,00001036242584",430,579.015,"0,0007426405188",35,579.015,"0,00006044748409",,,#DIV/0!
51,0,0,"416,12",30473,"0,01365536705",7529,30473,"0,2470711778",7.221,30473,"0,2369638697",48,19011,"0,002524854032",10,30473,"0,0003281593542",5,30473,"0,0001640796771",52,30473,"0,001706428642",3,30473,"0,00009844780625",,,#DIV/0!
88,0,0,916,#REF!,#REF!,0,#REF!,#REF!,"14581,3",#REF!,#REF!,177,45740,"0,003869698295",53,#REF!,#REF!,,#REF!,#REF!,,#REF!,#REF!,,#REF!,#REF!,,,#DIV/0!
217,296,"0,7331081081",90,#REF!,#REF!,0,#REF!,#REF!,,#REF!,#REF!,404,,#DIV/0!,0,#REF!,#REF!,1,#REF!,#REF!,282,#REF!,#REF!,,#REF!,#REF!,,"1550,37",0
