5441705,1803493,"3,017314179","662,33",10075310,"0,00006573792767",,10075310,0,246935,10075310,"0,0245089233",7832,10075310,"0,0007773458087"
,,#DIV/0!,"107,82",589.097,"0,0001830258854",,589.097,0,,589.097,0,,589.097,0
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
,,#DIV/0!,"175,51",405303,"0,0004330340511",,405303,0,,405303,0,,405303,0
,,#DIV/0!,19.008,65.882,"0,2885158313",,65.882,0,,65.882,0,,65.882,0
,,,,889 646,,,889 646,,"17,033",889 646,,,889 646,
,,,,395423,,,395423,,,395423,,,395423,
,,,,206 496,,,206 496,,,206 496,,,206 496,
,,,,181193,,,181193,,,181193,,,181193,
,,,,73708,,,73708,,,73708,,,73708,
,,#DIV/0!,"593,91",#REF!,#REF!,,#REF!,#REF!,5166,#REF!,#REF!,1243,#REF!,#REF!
,,#DIV/0!,"200,56",#REF!,#REF!,,#REF!,#REF!,2363,#REF!,#REF!,,#REF!,#REF!
,,#DIV/0!,"313,51",202204,"0,001550463888",,202204,0,5166,202204,"0,02554845601",793,202204,"0,003921781963"
,,#DIV/0!,"99,33",136903,"0,0007255502071",,136903,0,2363,136903,"0,01726039605",,136903,0
,,#DIV/0!,"57,64",64819,"0,0008892454373",2632,64819,"0,04060537805",2505,64819,"0,038646076",333,64819,"0,005137382558"
203578,126664,"1,607228573","157,26",423257,"0,0003715473105",3661,423257,"0,008649591147",13898,423257,"0,03283584205",1368,423257,"0,003232078855"
292115,65640,"4,450258988","395,06",362202,"0,001090717335",,362202,0,5490,362202,"0,01515728792",233,362202,"0,0006432874473"
356246,172648,"2,063423845","371,38",227500,"0,00163243956",,227500,0,1427,227500,"0,006272527473",,227500,0
,,#DIV/0!,,76488,0,,76488,0,,76488,0,,76488,0
,,#DIV/0!,27345,59608,"0,458747148",,59608,0,1042,59608,"0,01748087505",24,59608,"0,0004026305194"
,,#DIV/0!,3185,3666553,"0,0008686632922",,3666553,0,45575,3666553,"0,01242993078",,3666553,0
,,#DIV/0!,267,335889,"0,0007949054598",,335889,0,,335889,0,,335889,0
,,#DIV/0!,401,216270,"0,001854163777",,216270,0,,216270,0,,216270,0
56659,59745,"0,948347142",6052,164675,"0,03675117656",,164675,0,3330,164675,"0,0202216487",,164675,0
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
,,#DIV/0!,,1030528,0,,1030528,0,,1030528,0,,1030528,0
,,#DIV/0!,,315001,0,,315001,0,,315001,0,,315001,0
,315001,0,,315001,0,,,#DIV/0!,,315001,0,7,315001,"0,00002222215168"
,,#DIV/0!,"497,57",163651,"0,003040433606",5634,163651,"0,0344269207",3007,163651,"0,01837446762",326,163651,"0,001992044045"
1000,900,,"252,3",33215,"0,007595965678",2500,33215,"0,07526719855",700,33215,"0,0210748156",16,33215,"0,0004817100708"
